sofifa_id,long_name,age,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,preferred_foot,skill_moves,work_rate,body_type,player_tags,team_position
158023,Lionel Andrés Messi Cuccittini,27,169,67,Argentina,FC Barcelona,93,95,0,0,Left,4,Medium/Low,Normal,"#Speedster, #Dribbler, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward",CF
20801,Cristiano Ronaldo dos Santos Aveiro,29,185,80,Portugal,Real Madrid,92,92,0,0,Right,5,High/Low,Normal,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LW
9014,Arjen Robben,30,180,80,Netherlands,FC Bayern München,90,90,0,0,Left,4,High/Low,Normal,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat",SUB
41236,Zlatan Ibrahimović,32,195,95,Sweden,Paris Saint-Germain,90,90,0,0,Right,4,Medium/Low,Normal,"#Poacher, #Aerial Threat, #Distance Shooter, #Acrobat, #Strength, #Clinical Finisher, #Complete Forward",ST
167495,Manuel Neuer,28,193,92,Germany,FC Bayern München,90,90,0,0,Right,1,Medium/Medium,Normal,,GK
176580,Luis Alberto Suárez Díaz,27,181,81,Uruguay,FC Barcelona,89,91,0,0,Right,4,High/Medium,Normal,"#Acrobat, #Clinical Finisher",RES
183277,Eden Hazard,23,173,74,Belgium,Chelsea,88,90,0,0,Right,4,High/Medium,Normal,"#Speedster, #Dribbler, #Acrobat",LM
7826,Robin van Persie,30,187,71,Netherlands,Manchester United,88,88,0,0,Left,4,Medium/Low,Normal,"#Distance Shooter, #Clinical Finisher",RS
121944,Bastian Schweinsteiger,29,183,79,Germany,FC Bayern München,88,88,0,0,Right,3,High/High,Normal,"#Playmaker  , #Engine, #Tactician ",SUB
156616,Franck Bilal Ribéry,31,170,72,France,FC Bayern München,88,88,0,0,Right,5,High/Medium,Normal,"#Dribbler, #Acrobat",SUB
167397,Radamel Falcao García Zárate,28,177,72,Colombia,Manchester United,88,88,0,0,Right,4,High/Medium,Normal,#Aerial Threat,SUB
173731,Gareth Frank Bale,24,183,74,Wales,Real Madrid,87,91,0,0,Left,4,High/Medium,Lean,"#Speedster, #Distance Shooter",RW
188545,Robert Lewandowski,25,184,78,Poland,FC Bayern München,87,89,0,0,Right,4,High/Medium,Normal,#Clinical Finisher,LS
121939,Philipp Lahm,30,170,66,Germany,FC Bayern München,87,87,0,0,Right,3,High/High,Normal,"#Engine, #Tackling , #Tactician ",RCM
155862,Sergio Ramos García,28,183,75,Spain,Real Madrid,87,87,0,0,Right,3,High/Medium,Normal,"#Tackling , #Tactician ",LCB
164240,Thiago Emiliano da Silva,29,183,79,Brazil,Paris Saint-Germain,87,87,0,0,Right,3,Medium/High,Normal,"#Tackling , #Tactician ",LCB
168542,David Josué Jiménez Silva,28,170,67,Spain,Manchester City,87,87,0,0,Left,4,High/Low,Normal,"#Dribbler, #Playmaker  , #Acrobat",CAM
177003,Luka Modrić,28,174,65,Croatia,Real Madrid,87,87,0,0,Right,4,High/Medium,Lean,"#Dribbler, #Playmaker  , #Acrobat",RCM
198710,James David Rodríguez Rubio,22,180,75,Colombia,Real Madrid,86,92,0,0,Left,4,Medium/Medium,Normal,,CAM
190871,Neymar da Silva Santos Junior,22,175,64,Brazil,FC Barcelona,86,91,0,0,Right,5,High/Medium,Lean,"#Speedster, #Dribbler, #Acrobat",LW
192119,Thibaut Courtois,22,199,88,Belgium,Chelsea,86,90,0,0,Left,1,Medium/Medium,Lean,,GK
178603,Mats  Hummels,25,192,90,Germany,Borussia Dortmund,86,88,0,0,Right,2,High/Medium,Normal,"#Aerial Threat, #Tackling , #Tactician , #Strength, #Complete Defender",SUB
183898,Ángel Fabián Di María Hernández,26,180,70,Argentina,Manchester United,86,88,0,0,Left,4,High/High,Lean,"#Speedster, #Dribbler, #Crosser, #Acrobat",LCM
188350,Marco Reus,25,181,73,Germany,Borussia Dortmund,86,88,0,0,Right,4,High/Medium,Lean,"#Speedster, #Dribbler, #Distance Shooter, #FK Specialist, #Acrobat",SUB
189596,Thomas Müller,24,186,75,Germany,FC Bayern München,86,88,0,0,Right,3,High/High,Lean,"#Engine, #Clinical Finisher",RS
153079,Sergio Leonel Agüero del Castillo,26,172,74,Argentina,Manchester City,86,87,0,0,Right,4,High/Low,Normal,"#Dribbler, #Acrobat",ST
176635,Mesut Özil,25,183,76,Germany,Arsenal,86,87,0,0,Left,4,Medium/Low,Lean,"#Dribbler, #Playmaker  ",LW
10535,Xavier Hernández Creus,34,170,68,Spain,FC Barcelona,86,86,0,0,Right,3,Medium/Medium,Normal,"#Playmaker  , #FK Specialist",SUB
20289,Gnégnéri Yaya Touré,31,189,90,Ivory Coast,Manchester City,86,86,0,0,Right,3,Medium/Medium,Lean,#Strength,LDM
54050,Wayne Mark Rooney,28,176,83,England,Manchester United,86,86,0,0,Right,3,High/High,Stocky,"#Engine, #Distance Shooter, #Clinical Finisher",LS
139720,Vincent Kompany,28,192,85,Belgium,Manchester City,86,86,0,0,Right,2,Medium/Medium,Normal,"#Tackling , #Tactician , #Strength, #Complete Defender",RCB
192318,Mario Götze,22,176,72,Germany,FC Bayern München,85,91,0,0,Right,4,Medium/Medium,Normal,"#Dribbler, #Playmaker  , #Acrobat",CM
189511,Sergio Busquets i Burgos,25,189,73,Spain,FC Barcelona,85,89,0,0,Right,3,Medium/Medium,Lean,#Tactician ,CDM
182521,Toni Kroos,24,182,78,Germany,Real Madrid,85,88,0,0,Right,3,Medium/Medium,Normal,"#Playmaker  , #Distance Shooter, #Crosser, #Complete Midfielder",LCM
165153,Karim Benzema,26,184,79,France,Real Madrid,85,87,0,0,Right,4,Medium/Low,Normal,#Poacher,ST
179813,Edinson Roberto Cavani Gómez,27,184,71,Uruguay,Paris Saint-Germain,85,87,0,0,Right,3,Medium/Medium,Lean,,RW
179844,Diego da Silva Costa,25,188,81,Spain,Chelsea,85,87,0,0,Right,3,High/Medium,Normal,#Strength,ST
181872,Arturo Vidal,27,180,75,Chile,Juventus,85,87,0,0,Right,3,High/High,Normal,"#Engine, #Tactician ",SUB
167948,Hugo Lloris,27,188,78,France,Tottenham Hotspur,85,86,0,0,Left,1,Medium/Medium,Lean,,GK
177610,Javier Martínez Aginaga,25,190,81,Spain,FC Bayern München,85,86,0,0,Right,2,Medium/Medium,Normal,"#Tackling , #Tactician ",SUB
178088,Juan Manuel Mata García,26,174,63,Spain,Manchester United,85,86,0,0,Left,4,Medium/Medium,Lean,"#Playmaker  , #Acrobat",CAM
183907,Jérôme Boateng,25,192,90,Germany,FC Bayern München,85,86,0,0,Right,3,Medium/Medium,Normal,#Strength,CB
48940,Petr Čech,32,196,90,Czech Republic,Chelsea,85,85,0,0,Left,1,Medium/Medium,Normal,,SUB
143001,Carlos Alberto Tevez,30,173,75,Argentina,Juventus,85,85,0,0,Right,3,High/High,Stocky,"#Dribbler, #Engine, #Clinical Finisher",RS
152729,Gerard Piqué Bernabéu,27,192,85,Spain,FC Barcelona,84,89,0,0,Right,2,High/Medium,Normal,#Tactician ,RCB
143745,Arda Turan,27,177,76,Turkey,Atlético Madrid,84,88,0,0,Right,4,High/High,Normal,"#Dribbler, #Acrobat",LM
184941,Alexis Alejandro Sánchez Sánchez,25,171,62,Chile,Arsenal,84,88,0,0,Right,4,High/Medium,Normal,"#Dribbler, #Acrobat",RW
188152,Oscar dos Santos Emboaba Júnior,22,179,67,Brazil,Chelsea,84,87,0,0,Right,4,Medium/High,Lean,#Acrobat,CAM
165239,Samir Nasri,27,175,75,France,Manchester City,84,86,0,0,Right,4,High/Medium,Normal,#Dribbler,SUB
177509,Medhi Amine El Mouttaqi Benatia,27,188,88,Morocco,FC Bayern München,84,86,0,0,Right,2,High/High,Normal,"#Tackling , #Tactician , #Strength, #Complete Defender",RCB
179846,Sami Khedira,27,189,85,Germany,Real Madrid,84,86,0,0,Right,2,Medium/High,Normal,"#Tactician , #Strength",SUB
167664,Gonzalo Gerardo Higuaín,26,184,82,Argentina,Napoli,84,85,0,0,Right,3,High/Medium,Normal,,ST
168435,Salvatore Sirigu,27,192,80,Italy,Paris Saint-Germain,84,85,0,0,Right,1,Medium/Medium,Normal,,GK
5479,Iker Casillas Fernández,33,185,84,Spain,Real Madrid,84,84,0,0,Left,1,Medium/Medium,Normal,,GK
7763,Andrea Pirlo,35,177,68,Italy,Juventus,84,84,0,0,Right,2,Low/Medium,Lean,"#Playmaker  , #FK Specialist",SUB
45197,Xabier Alonso Olano,32,183,77,Spain,FC Bayern München,84,84,0,0,Right,2,Medium/High,Normal,#Playmaker  ,LCM
